Designator,Mid X,Mid Y,Rotation,Layer
C1,0.0,0.0,357.13036220000004,bottom
C10,-18.8014,-28.1775,206.97730425,bottom
C11,-13.6278,-30.811,81.45794241,bottom
C12,-14.4663,-25.2285,86.78713946,bottom
C13,-14.7629,-19.9447,206.97718492,bottom
C14,-10.3081,-22.2123,260.09337556,bottom
C15,-9.3926,-27.4543,258.31991748,bottom
C16,-8.224299,-33.1057,319.7226187,bottom
C17,-12.4604,-36.6953,255.83669222,bottom
C18,-10.9779,-42.5699,252.60845439000002,bottom
C19,-9.2489,-48.09,138.67596810999999,bottom
C2,-6.0846,-0.305,351.9047524,bottom
C20,-5.2277,-44.5543,74.2605742,bottom
C21,-6.8177,-38.9126,197.40378783,bottom
C22,-0.9977,-40.7369,74.8765102,bottom
C23,-2.5804,-34.8807,76.0280353,bottom
C24,-4.0315,-29.0485,77.0834028,bottom
C25,-5.2939,-23.5439,75.0695639,bottom
C26,-6.6509,-18.4548,189.101780632,bottom
C27,-1.4451,-19.2888,252.89219730000002,bottom
C28,0.2157,-24.6847,254.71764969999998,bottom
C29,1.7916,-30.4522,254.49748713,bottom
C3,-12.2068,-1.1758,347.2106251,bottom
C30,3.454,-36.4456,180.0,bottom
C31,7.9538,-31.8223,73.1000385,bottom
C32,6.1559,-25.9047,71.3877542,bottom
C33,4.2609,-20.2778,180.0,bottom
C34,10.2307,-21.3964,250.77114720999998,bottom
C35,12.2346,-27.1415,252.45999718000002,bottom
C36,14.0,-33.0681,270.0,bottom
C37,9.6931,-37.8301,315.63423539999997,bottom
C38,5.1081,-42.3147,318.5015435,bottom
C39,0.6311,-46.2754,320.4613799,bottom
C4,-18.061,-2.5047,341.3933458,bottom
C40,-3.5418,-49.72,270.0,bottom
C41,-1.8581,-54.1878,246.5040565,bottom
C42,-0.260299,-57.8632,160.0,bottom
C43,3.6737,-55.362,109.362,bottom
C44,2.2135,-51.2068,191.44360462,bottom
C45,8.022,-52.3826,73.6985475,bottom
C46,6.6558,-47.711,107.98,bottom
C47,11.2621,-43.5605,134.22443067,bottom
C48,15.7619,-38.9372,130.55605218,bottom
C49,19.8881,-34.1156,72.8766287,bottom
C5,-23.3713,-4.2925,228.84187538999998,bottom
C50,18.1036,-28.3234,71.1380169,bottom
C51,16.1462,-22.5939,162.336,bottom
C52,21.6816,-23.8045,129.18658464,bottom
C53,25.1795,-19.5136,14.373375299999992,bottom
C54,19.8849,-18.1568,12.386681199999998,bottom
C55,14.0339,-16.8718,10.534008199999988,bottom
C56,7.9372,-15.7381,8.804504000000009,bottom
C57,1.9458,-14.8101,7.19014709999999,bottom
C58,-3.6402,-14.1054,2.6442012999999918,bottom
C59,-8.8456,-13.865,349.5928076,bottom
C6,-20.3472,-7.752,255.863,bottom
C60,-13.8591,-14.7858,46.875797199999994,bottom
C61,-17.1093,-11.3155,112.89852867,bottom
C62,-14.9523,-6.2088,180.0,bottom
C63,-11.7906,-9.9567,180.0,bottom
C64,-9.1299,-5.1394,235.07222532,bottom
C65,-6.2143,-9.3145,122.36803265,bottom
C66,-3.2314,-4.6084,180.0,bottom
C67,-0.603,-9.4798,186.084737307,bottom
C68,5.3548,-10.1149,63.5242681,bottom
C69,2.6946,-4.7737,185.942612689,bottom
C7,-21.9524,-13.4009,270.0,bottom
C70,8.8901,-5.4186,244.44524048,bottom
C71,11.5904,-11.066,191.44415294,bottom
C72,17.7444,-12.3118,194.41240507999998,bottom
C73,23.4513,-13.7784,126.98609116,bottom
C74,26.59,-9.6111,67.102147,bottom
C75,24.1897,-3.9282,0.0,bottom
C76,21.198,-7.9102,13.404393999999996,bottom
C77,15.1862,-6.4775,128.15614592,bottom
C78,18.4977,-2.2627,11.444152900000006,bottom
C79,12.3437,-1.016899,6.862110699999988,bottom
C8,-18.4815,-16.8312,275.93521065,bottom
C80,6.0932,-0.2647,51.863,bottom
C9,-19.0736,-22.5266,267.24223298,bottom
D1,0.0,0.0,182.8696378,top
D10,-18.8014,-28.1775,333.02269575,top
D11,-13.6278,-30.811,98.54205759,top
D12,-14.4663,-25.2285,93.21286054,top
D13,-14.7629,-19.9447,333.02281508,top
D14,-10.3081,-22.2123,279.90662444,top
D15,-9.3926,-27.4543,281.68008252,top
D16,-8.224299,-33.1057,220.2773813,top
D17,-12.4604,-36.6953,284.16330777999997,top
D18,-10.9779,-42.5699,287.39154561,top
D19,-9.2489,-48.09,41.32403189,top
D2,-6.0846,-0.305,188.0952476,top
D20,-5.2277,-44.5543,105.7394258,top
D21,-6.8177,-38.9126,342.59621217,top
D22,-0.9977,-40.7369,105.1234898,top
D23,-2.5804,-34.8807,103.9719647,top
D24,-4.0315,-29.0485,102.9165972,top
D25,-5.2939,-23.5439,104.9304361,top
D26,-6.6509,-18.4548,350.898219368,top
D27,-1.4451,-19.2888,287.1078027,top
D28,0.2157,-24.6847,285.2823503,top
D29,1.7916,-30.4522,285.50251287000003,top
D3,-12.2068,-1.1758,192.7893749,top
D30,3.454,-36.4456,0.0,top
D31,7.9538,-31.8223,106.8999615,top
D32,6.1559,-25.9047,108.6122458,top
D33,4.2609,-20.2778,0.0,top
D34,10.2307,-21.3964,289.22885279,top
D35,12.2346,-27.1415,287.54000282,top
D36,14.0,-33.0681,270.0,top
D37,9.6931,-37.8301,224.3657646,top
D38,5.1081,-42.3147,221.4984565,top
D39,0.6311,-46.2754,219.5386201,top
D4,-18.061,-2.5047,198.6066542,top
D40,-3.5418,-49.72,270.0,top
D41,-1.8581,-54.1878,293.4959435,top
D42,-0.260299,-57.8632,20.0,top
D43,3.6737,-55.362,70.638,top
D44,2.2135,-51.2068,348.55639538,top
D45,8.022,-52.3826,106.3014525,top
D46,6.6558,-47.711,72.02,top
D47,11.2621,-43.5605,45.77556933,top
D48,15.7619,-38.9372,49.44394782,top
D49,19.8881,-34.1156,107.1233713,top
D5,-23.3713,-4.2925,311.15812461,top
D50,18.1036,-28.3234,108.8619831,top
D51,16.1462,-22.5939,17.664,top
D52,21.6816,-23.8045,50.81341536,top
D53,25.1795,-19.5136,165.6266247,top
D54,19.8849,-18.1568,167.6133188,top
D55,14.0339,-16.8718,169.4659918,top
D56,7.9372,-15.7381,171.195496,top
D57,1.9458,-14.8101,172.8098529,top
D58,-3.6402,-14.1054,177.3557987,top
D59,-8.8456,-13.865,190.4071924,top
D6,-20.3472,-7.752,284.137,top
D60,-13.8591,-14.7858,133.1242028,top
D61,-17.1093,-11.3155,67.10147133,top
D62,-14.9523,-6.2088,0.0,top
D63,-11.85,-9.9567,0.0,top
D64,-9.1299,-5.1394,304.92777467999997,top
D65,-6.2143,-9.3145,57.63196735,top
D66,-3.2314,-4.6084,0.0,top
D67,-0.603,-9.4798,353.915262693,top
D68,5.3548,-10.1149,116.4757319,top
D69,2.6946,-4.7737,354.057387311,top
D7,-21.9524,-13.4009,270.0,top
D70,8.8901,-5.4186,295.55475952,top
D71,11.5904,-11.066,348.55584706,top
D72,17.7444,-12.3118,345.58759492,top
D73,23.4513,-13.7784,53.01390884,top
D74,26.59,-9.6111,112.897853,top
D75,24.1897,-3.9282,180.0,top
D76,21.198,-7.9102,166.595606,top
D77,15.1862,-6.4775,51.84385408,top
D78,18.4977,-2.2627,168.5558471,top
D79,12.3437,-1.016899,173.1378893,top
D8,-18.4815,-16.8312,264.06478935,top
D80,6.0932,-0.2647,128.137,top
D9,-19.0736,-22.5266,272.75776702,top
J1,-0.5866,14.9885,92.24165441,top
J2,9.4279,14.3599,77.15459085,top
