Designator,Mid X,Mid Y,Rotation,Layer
C1,0.0,0.0,345.71299999999997,bottom
C10,-13.5845,-9.1255,167.565,bottom
C11,-7.5997,-7.8058,169.373,bottom
C12,-1.7014,-6.699,172.999185119,bottom
C13,4.205,-5.9737,293.04200000000003,bottom
C14,1.8238,-11.5719,354.2,bottom
C15,-3.8162,-12.1447,348.25800000000004,bottom
C16,-9.4464,-13.3149,285.52299999999997,bottom
C17,-10.8682,-18.4335,165.867,bottom
C18,-5.7529,-17.1454,177.20976747,bottom
C19,-0.4469,-16.8868,297.551,bottom
C2,-5.9415,-1.513,344.774,bottom
C20,-2.9041,-21.5966,308.894,bottom
C21,-6.2162,-25.7022,20.579000000000008,bottom
C22,-11.1546,-23.8481,326.42,bottom
C23,-15.5984,-26.7983,263.223,bottom
C24,-14.9295,-32.4276,144.36599999999999,bottom
C25,-10.3299,-29.1304,258.653,bottom
C26,-9.2165,-34.6792,258.637,bottom
C27,-8.017899,-40.6435,258.61199999999997,bottom
C28,-6.7701,-46.8387,258.5849999999999,bottom
C29,-5.5194,-53.0333,198.603,bottom
C3,-12.0393,-3.1726,344.74699999999996,bottom
C30,0.1204,-54.9317,79.746,bottom
C31,-0.9703,-48.9028,79.745,bottom
C32,-2.0816,-42.7603,79.746,bottom
C33,-3.1723,-36.7315,79.746,bottom
C34,-4.2055,-31.0203,137.0,bottom
C35,0.0001,-27.0985,131.875,bottom
C36,3.8385,-22.8167,125.93299999999999,bottom
C37,7.1652,-18.2265,123.9,bottom
C38,10.5149,-13.2416,123.888,bottom
C39,14.0643,-7.9571,244.394,bottom
C4,-18.1364,-4.8351,343.809,bottom
C40,16.8713,-13.8147,304.658,bottom
C41,13.3141,-18.9599,305.67,bottom
C42,9.8441,-23.7942,309.299,bottom
C43,6.0431,-28.4382,311.10400000000004,bottom
C44,2.013999,-33.0561,253.77100000000002,bottom
C45,3.7141,-38.8972,253.79499999999996,bottom
C46,5.4777,-44.9658,253.82299999999998,bottom
C47,7.2383,-51.0352,253.84800000000007,bottom
C48,8.9306,-56.8786,315.00700000000006,bottom
C49,4.9215,-60.8866,251.80899999999997,bottom
C5,-24.0243,-6.5446,222.04899999999998,bottom
C50,6.5866,-65.953999,137.31,bottom
C51,10.4913,-62.3521,140.336,bottom
C52,14.8479,-58.7398,77.16200000000003,bottom
C53,13.5135,-52.8842,138.676,bottom
C54,18.2942,-48.6806,18.167,bottom
C55,12.1225,-46.6555,77.643,bottom
C56,10.7324,-40.3105,77.629,bottom
C57,9.3685,-34.0923,136.852,bottom
C58,13.9792,-29.7704,135.914,bottom
C59,18.3831,-25.5048,134.69400000000002,bottom
C6,-19.4748,-10.6481,279.56399999999996,bottom
C60,22.6833,-21.1584,134.685,bottom
C61,27.1598,-16.6323,254.437,bottom
C62,28.838,-22.658,314.49299999999994,bottom
C63,24.5412,-27.0315,313.273,bottom
C64,20.3501,-31.4831,313.26200000000006,bottom
C65,15.9872,-36.1189,253.01600000000002,bottom
C66,17.8895,-42.3473,193.01600000000002,bottom
C67,24.2346,-43.8141,132.77100000000002,bottom
C68,28.5574,-39.141,14.294999999999987,bottom
C69,22.3885,-37.5692,134.048,bottom
C7,-20.4719,-16.5659,220.40699999999998,bottom
C70,26.7374,-33.0732,135.06,bottom
C71,30.9496,-28.8698,138.688,bottom
C72,35.4572,-24.9081,81.018,bottom
C73,34.5195,-18.9761,140.281,bottom
C74,39.3805,-14.9376,82.27,bottom
C75,38.5304,-8.6754,321.52000000000004,bottom
C76,33.5469,-12.6365,21.768,bottom
C77,27.4989,-10.2214,141.768,bottom
C78,32.6144,-6.1912,22.031000000000006,bottom
C79,26.5932,-3.7548,22.044999999999987,bottom
C8,-16.1626,-20.2344,100.116,bottom
C80,20.6927,-1.3655,22.044999999999987,bottom
C9,-15.1526,-14.5733,106.058,bottom
D1,0.0,-0.1,194.2866942,top
D10,-13.5845,-9.1255,12.43521209,top
D11,-7.5997,-7.8058,10.62780744,top
D12,-1.7014,-6.699,7.000814881,top
D13,4.205,-5.9737,246.9574758,top
D14,1.8238,-11.5719,185.7990919,top
D15,-3.8162,-12.1447,191.7413837,top
D16,-9.4464,-13.3149,254.4762354,top
D17,-10.8682,-18.4335,14.13397863,top
D18,-5.7529,-17.1454,2.79023253,top
D19,-0.4469,-16.8868,242.44801990000002,top
D2,-5.9415,-1.513,195.2250612,top
D20,-2.9041,-21.5966,231.1059305,top
D21,-6.2162,-25.7022,159.4215803,top
D22,-11.1546,-23.8481,213.5798365,top
D23,-15.5984,-26.7983,276.77638158,top
D24,-14.9295,-32.4276,35.63465514,top
D25,-10.3299,-29.1304,281.3460682,top
D26,-9.2165,-34.6792,281.36294289,top
D27,-8.017899,-40.6435,281.38781136,top
D28,-6.7701,-46.8387,281.41466029000003,top
D29,-5.5194,-53.0333,341.39637168,top
D3,-12.0393,-3.1726,195.2520971,top
D30,0.1204,-54.9317,100.2545762,top
D31,-0.9703,-48.9028,100.2550134,top
D32,-2.0816,-42.7603,100.2547427,top
D33,-3.1723,-36.7315,100.2543404,top
D34,-4.2055,-31.0203,43.00010605,top
D35,0.0001,-27.0985,48.12550726,top
D36,3.8385,-22.8167,54.06766646,top
D37,7.1652,-18.2265,56.10010916,top
D38,10.5149,-13.2416,56.11222646,top
D39,14.0643,-7.9571,295.60404368,top
D4,-18.1364,-4.8351,196.1901906,top
D40,16.8713,-13.8147,235.3414593,top
D41,13.3141,-18.9599,234.3296884,top
D42,9.8441,-23.7942,230.7005169,top
D43,6.0431,-28.4382,228.8954272,top
D44,2.013999,-33.0561,286.22806964,top
D45,3.7141,-38.8972,286.20442903000003,top
D46,5.4777,-44.9658,286.17628642,top
D47,7.2383,-51.0352,286.15148098,top
D48,8.9306,-56.8786,224.9921386,top
D49,4.9215,-60.8866,288.19003704,top
D5,-24.0243,-6.5446,317.95057486,top
D50,6.5866,-65.953999,42.69006456,top
D51,10.4913,-62.3521,39.66402062,top
D52,14.8479,-58.7398,102.8375876,top
D53,13.5135,-52.8842,41.32469639,top
D54,18.2942,-48.6806,161.8339518,top
D55,12.1225,-46.6555,102.3574525,top
D56,10.7324,-40.3105,102.3713442,top
D57,9.3685,-34.0923,43.14821449,top
D58,13.9792,-29.7704,44.08606791,top
D59,18.3831,-25.5048,45.3061365,top
D6,-19.4748,-10.6481,260.43596914,top
D60,22.6833,-21.1584,45.31566902,top
D61,27.1598,-16.6323,285.56289539,top
D62,28.838,-22.658,225.5068419,top
D63,24.5412,-27.0315,226.7264319,top
D64,20.3501,-31.4831,226.7370539,top
D65,15.9872,-36.1189,286.9839052,top
D66,17.8895,-42.3473,346.98355604,top
D67,24.2346,-43.8141,47.22996879,top
D68,28.5574,-39.141,165.7055197,top
D69,22.3885,-37.5692,45.9528013,top
D7,-20.4719,-16.5659,319.59230372,top
D70,26.7374,-33.0732,44.94008714,top
D71,30.9496,-28.8698,41.31202603,top
D72,35.4572,-24.9081,98.98269494,top
D73,34.5195,-18.9761,39.71967131,top
D74,39.3805,-14.9376,97.7307033,top
D75,38.5304,-8.6754,218.4791866,top
D76,33.5469,-12.6365,158.2320823,top
D77,27.4989,-10.2214,38.23248491,top
D78,32.6144,-6.1912,157.9699249,top
D79,26.5932,-3.7548,157.9554103,top
D8,-16.1626,-20.2344,79.88426106,top
D80,20.6927,-1.3655,157.9554103,top
D9,-15.1526,-14.5733,73.94201404,top
J1,-3.6613,14.5463,104.1281547,top
J2,27.8699,11.806,61.41393377,top
