Designator,Footprint,Quantity,Value,LCSC Part #
C10,0603,1,10uF,
"C11, C12",0603,2,0.1uF,
J10,PinHeader_1x02_P2.00mm_Vertical,1,CHARGE,
"J11, J15, J17, J18, J19, J20",PinHeader_1x02_P2.00mm_Vertical,6,POWER,
J12,PinHeader_1x02_P2.00mm_Vertical,1,5V,
J13,PinHeader_1x02_P2.00mm_Vertical,1,3V3,
J14,PinHeader_1x03_P2.00mm_Vertical,1,BATTERY,
"J16, J8, J9",PinHeader_1x06_P2.54mm_Vertical,3,ESP32-01,
J6,PinHeader_1x06_P2.54mm_Vertical,1,POWER-01,
J7,PinHeader_1x06_P2.54mm_Vertical,1,POWER-02,
"R1, R2, R3, R4, R5",0603,5,33Ω,
