Designator,Mid X,Mid Y,Rotation,Layer
C10,-22.475,9.825,180.0,top
C11,-22.45,11.425,180.0,top
C12,22.6625,10.3,180.0,top
J10,22.54,15.2,0.0,top
J11,-22.54,16.125,0.0,top
J12,-22.5,-11.299999,180.0,top
J13,-12.6,22.54,90.0,top
J14,22.54,-14.2,0.0,top
J15,14.8,22.54,90.0,top
J16,-16.45,-22.54,270.0,top
J17,-22.5,-16.6,0.0,top
J18,20.2,-22.5,180.0,top
J19,-18.1,22.54,270.0,top
J20,20.2,22.5,270.0,top
J6,-22.54,0.0,0.0,top
J7,22.54,0.0,0.0,top
J8,0.0,22.54,270.0,top
J9,0.0,-22.54,270.0,top
R1,9.7,-22.525,90.0,top
R2,11.5,-22.525,90.0,top
R3,13.3,-22.525,90.0,top
R4,15.1,-22.525,90.0,top
R5,16.9,-22.525,90.0,top
