Designator,Footprint,Quantity,Value,LCSC Part #
C5,0603,1,10uF,
"C6, C7",0603,2,0.1uF,
J12,PinHeader_1x01_P2.54mm_Vertical,1,TP_VIN,
J13,PinHeader_1x01_P2.54mm_Vertical,1,TP_3V3,
"J14, J15, J18",PinHeader_1x01_P2.54mm_Vertical,3,TP_PGND,
"J16, J17",PinHeader_1x06_P2.54mm_Vertical,2,ESP32-01,
J3,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left,1,M5atom-L,
J4,PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Left,1,M5atomS3-R,
J5,PinHeader_1x02_P2.00mm_Vertical,1,3V3,
J6,PinHeader_1x02_P2.00mm_Vertical,1,5V,
J9,PinHeader_1x04_P2.00mm_Vertical,1,I2C,
LS1,speaker-PKLCS1212,1,SPEAKER,
R1,0603,1,0Ω,
U1,AE-BNO055-nohole,1,AE-BNO055,
