Designator,Mid X,Mid Y,Rotation,Layer
C5,79.2,-81.7,270.0,top
C6,80.8,-81.7,270.0,top
C7,113.65,-67.1375,270.0,top
J12,81.3,-87.0,0.0,top
J13,113.7,-71.8,90.0,top
J14,85.5,-58.5,0.0,top
J15,84.2,-85.5,90.0,top
J16,76.407867,-76.341333,180.0,bottom
J17,121.487867,-76.341333,180.0,bottom
J18,113.5,-94.0,0.0,top
J3,91.0,-88.0,0.0,top
J4,106.253442,-86.784398,0.0,top
J5,112.7,-76.9,180.0,top
J6,81.5,-63.5,180.0,top
J9,91.0,-64.5,90.0,top
LS1,106.0,-62.8,180.0,top
R1,113.9,-58.95,270.0,top
U1,99.5,-76.0,270.0,bottom
