Designator,Mid X,Mid Y,Rotation,Layer
C5,-19.747867,-5.3587,270.0,top
C6,-18.147867,-5.3587,270.0,top
C7,14.702133,9.2038,270.0,top
J12,-17.6,-9.9,0.0,top
J13,14.752133,4.5413,90.0,top
J14,-13.447867,17.8413,0.0,top
J15,-17.6,-13.9,90.0,top
J16,-22.54,-3.3e-05,180.0,bottom
J17,22.54,-3.3e-05,180.0,bottom
J18,14.552133,-17.6587,0.0,top
J3,-7.947867,-11.6587,0.0,top
J4,7.305575,-10.443098,0.0,top
J5,13.752133,-0.5587,180.0,top
J6,-17.447867,12.8413,180.0,top
J9,-6.6,13.1,270.0,top
LS1,7.052133,13.5413,180.0,top
R1,14.952133,17.3913,270.0,top
U1,-6.74,1.85,270.0,top
