Comment,Designator,Footprint,LCSC,Quantity
10uF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
TP_3V3,J13,PinHeader_1x01_P2.54mm_Vertical,,1
10uF,C8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
VIN,J15,PinHeader_1x02_P2.00mm_Vertical,,1
0.1uF,C6,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
LED03,J7,PinHeader_1x03_P2.00mm_Vertical,,1
SPI,J3,PinHeader_1x05_P2.00mm_Vertical,,1
3V3,J5,PinHeader_1x02_P2.00mm_Vertical,,1
POWER,J1,PinHeader_1x03_P2.00mm_Vertical,,1
0.1uF,C2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
5V,J6,PinHeader_1x02_P2.00mm_Vertical,,1
LED01,J11,PinHeader_1x03_P2.00mm_Vertical,,1
0.1uF,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
TP_VIN,J12,PinHeader_1x01_P2.54mm_Vertical,,1
MOUDLE-SEEEDUINO-XIAO-ESP32S3,U2,XIAO-RP2350,,1
TP_PGND,J14,PinHeader_1x01_P2.54mm_Vertical,,1
SPEAKER,LS1,speaker-PKLCS1212,,1
LED04,J10,PinHeader_1x03_P2.00mm_Vertical,,1
0.1uF,C7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
10uF,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
LED02,J8,PinHeader_1x03_P2.00mm_Vertical,,1
0.1uF,C9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
33Ω,R5,C_0603_1608Metric,,1
74HCT245,IC1,SOIC-20W_7.5x12.8mm_P1.27mm,,1
33Ω,R4,C_0603_1608Metric,,1
33Ω,R3,C_0603_1608Metric,,1
I2C,J9,PinHeader_1x04_P2.54mm_Vertical,,1
33Ω,R2,C_0603_1608Metric,,1
FerriteBead_Small,FB1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1
LED,D1,LED_0603_1608Metric,,1
330Ω,R1,R_0603_1608Metric,,1
