Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.75,-84.5,-90.0,top
C2,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.5,-84.5,-90.0,top
C3,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,83.8,-64.0125,-90.0,top
C5,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.65,-72.15,180.0,top
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.65,-70.5,180.0,top
C7,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.349007,-67.078122,-90.0,top
C8,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.5,-90.75,-90.0,top
C9,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.75,-90.75,-90.0,top
D1,LED,LED_0603_1608Metric,92.05,-71.29,-90.0,top
FB1,FerriteBead_Small,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,98.630477,-68.492977,180.0,bottom
IC1,74HCT245,SOIC-20W_7.5x12.8mm_P1.27mm,98.846161,-85.344907,270.0,bottom
J1,POWER,PinHeader_1x03_P2.00mm_Vertical,85.65,-76.65,0.0,top
J10,LED04,PinHeader_1x03_P2.00mm_Vertical,96.7,-63.0,180.0,top
J11,LED01,PinHeader_1x03_P2.00mm_Vertical,86.3,-63.0,180.0,top
J12,TP_VIN,PinHeader_1x01_P2.54mm_Vertical,117.0,-87.7,0.0,top
J13,TP_3V3,PinHeader_1x01_P2.54mm_Vertical,116.5,-80.8,90.0,top
J14,TP_PGND,PinHeader_1x01_P2.54mm_Vertical,83.9,-68.1,-90.0,top
J15,VIN,PinHeader_1x02_P2.00mm_Vertical,112.3,-91.1,180.0,top
J3,SPI,PinHeader_1x05_P2.00mm_Vertical,83.75,-87.5,0.0,top
J5,3V3,PinHeader_1x02_P2.00mm_Vertical,112.3,-85.1,180.0,top
J6,5V,PinHeader_1x02_P2.00mm_Vertical,81.25,-64.0,180.0,top
J7,LED03,PinHeader_1x03_P2.00mm_Vertical,93.3,-63.0,180.0,top
J8,LED02,PinHeader_1x03_P2.00mm_Vertical,89.8,-63.0,180.0,top
J9,I2C,PinHeader_1x04_P2.54mm_Vertical,101.429007,-72.193222,90.0,bottom
LS1,SPEAKER,speaker-PKLCS1212,106.699007,-62.740622,180.0,top
R1,330Ω,R_0603_1608Metric,90.25,-71.25,-90.0,top
R2,33Ω,C_0603_1608Metric,91.5,-71.525,270.0,bottom
R3,33Ω,C_0603_1608Metric,89.5,-71.525,270.0,bottom
R4,33Ω,C_0603_1608Metric,93.5,-71.525,270.0,bottom
R5,33Ω,C_0603_1608Metric,87.5,-71.525,270.0,bottom
U2,MOUDLE-SEEEDUINO-XIAO-ESP32S3,XIAO-RP2350,98.820853,-84.110937,180.0,top
