Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C8",0603,3,10uF,
"C2, C3, C6, C7, C9",0603,5,0.1uF,
D1,0603,1,LED,
FB1,0603,1,FerriteBead_Small,
J1,PinHeader_1x03_P2.00mm_Vertical,1,POWER,
J12,PinHeader_1x01_P2.54mm_Vertical,1,TP_VIN,
J13,PinHeader_1x01_P2.54mm_Vertical,1,TP_3V3,
"J14_2, J14",PinHeader_1x01_P2.54mm_Vertical,2,TP_PGND,
J15,PinHeader_1x02_P2.00mm_Vertical,1,VIN,
J2,PinHeader_1x06_P2.54mm_Vertical,1,ESP32-01,
J3,PinHeader_1x05_P2.00mm_Vertical,1,SPI,
J4,PinHeader_1x06_P2.54mm_Vertical,1,ESP32-02,
J5,PinHeader_1x02_P2.00mm_Vertical,1,3V3,
J6,PinHeader_1x02_P2.00mm_Vertical,1,5V,
J9,PinHeader_1x04_P2.54mm_Vertical,1,I2C,
LS1,speaker-PKLCS1212,1,SPEAKER,
R1,0603,1,330Ω,
"R2, R3",0603,2,10kΩ,
U2,XIAO-RP2350,1,MOUDLE-SEEEDUINO-XIAO-ESP32S3,
