Designator,Mid X,Mid Y,Rotation,Layer
C1,-13.35,5.0,270.0,top
C2,-11.6,5.0,270.0,top
C3,-14.95,12.8375,270.0,top
C5,-4.9625,14.85,0.0,top
C6,-4.9625,13.2,0.0,top
C7,15.1,9.2,90.0,top
C8,13.4,-14.05,90.0,top
C9,15.15,-14.05,90.0,top
D1,-4.1,10.335,270.0,top
FB1,-1.0,8.1,180.0,bottom
J1,-3.9,17.3,270.0,top
J12,12.3,-17.8,180.0,top
J13,-11.6,8.7,90.0,top
J14_2,-18.4,-2.7,270.0,top
J14,-14.85,8.75,270.0,top
J15,17.6,-13.7,0.0,top
J2,-22.54,0.0,180.0,top
J3,-14.4,-9.1,0.0,top
J4,22.54,0.0,180.0,top
J5,-15.8,4.4,180.0,top
J6,-17.5,12.85,180.0,top
J9,1.41,5.0,270.0,bottom
LS1,7.751107,13.600678,180.0,top
R1,-5.8,10.375,270.0,top
R2,-6.69,6.9,270.0,top
R3,-8.3,6.9,270.0,top
U2,-0.127047,-7.769637,180.0,top
