Designator,Mid X,Mid Y,Rotation,Layer
C10,-27.0,6.1375,90.0,top
C11,-25.5,6.1375,90.0,top
C12,25.75,4.8875,90.0,top
FB1,5.4,25.4,180.0,top
J1,40.75,0.0,270.0,top
J10,22.5,12.0,0.0,top
J11,-22.5,12.0,0.0,top
J12,-22.5,-11.299999,180.0,top
J13,-12.6,22.2,90.0,top
J14,22.0,-12.0,0.0,top
J15,11.8,22.2,270.0,top
J2,12.5924,-38.7556,198.0,top
J3,-32.9674,-23.9522,126.0,top
J4,-32.9674,23.9522,54.0,top
J5,12.5924,38.7556,342.0,top
J6,-22.54,0.0,0.0,top
J7,22.54,0.0,0.0,top
J8,0.0,22.54,270.0,top
J9,0.0,-22.54,270.0,top
R1,38.25,-0.075,90.0,top
R2,11.5,-36.0,18.0,top
R3,-31.0,-22.25,306.0,top
R4,-30.75,22.5,234.0,top
R5,11.75,36.25,162.0,top
