Comment,Designator,Footprint,LCSC,Quantity
MAX16054,U1,TSOT-23-6_HandSoldering,,1
FerriteBead,FB1,L_0603_1608Metric,,1
D_Schottky_Small,D1,Vishay_SMPA,,1
100uF,C7,CP_EIA-3528-12_Kemet-T,,1
100uF,C1,CP_EIA-3528-12_Kemet-T,,1
47kΩ,R5,R_0603_1608Metric,,1
10kΩ,R4,R_0603_1608Metric,,1
AO3401A,Q2,SOT-23,,1
CHARGE,J14,PinHeader_1x02_P2.00mm_Vertical,,1
OUTPUT,J9,PinHeader_1x02_P2.00mm_Vertical,,1
DIRECT,J4,PinHeader_1x02_P2.00mm_Vertical,,1
BATTERY,J3,PinHeader_1x02_P2.00mm_Vertical,,1
BATTERY,J1,PinHeader_1x03_P2.00mm_Vertical,,1
0.1uF,C8,C_0603_1608Metric,,1
22uF,C6,C_0805_2012Metric,,1
22uF,C5,C_0805_2012Metric,,1
0.1uF,C4,C_0603_1608Metric,,1
22uF,C3,C_0805_2012Metric,,1
0.1uF,C2,C_0603_1608Metric,,1
MP1584EN,U3,MP1584EN,,1
TP2326,U2,TS2326,,1
VIN,J8,PinHeader_1x06_P2.54mm_Vertical,,1
VOUT,J7,PinHeader_1x06_P2.54mm_Vertical,,1
