Designator,Mid X,Mid Y,Rotation,Layer
C1,68.5,-60.75,180.0,top
C2,67.0,-57.25,270.0,top
C3,69.0,-57.25,270.0,top
C4,40.475,-59.25,0.0,top
C5,40.5,-61.2,0.0,top
C6,36.5,-60.45,90.0,top
C7,40.25,-64.2,180.0,top
C8,40.45,-40.39,90.0,top
D1,62.81,-34.4,180.0,top
FB1,56.5,-54.0,180.0,bottom
J1,47.5,-34.4,90.0,bottom
J14,57.0,-34.4,270.0,top
J3,67.75,-66.25,180.0,bottom
J4,34.0,-64.45,180.0,bottom
J7,29.66,-51.7,0.0,top
J8,74.74,-51.7,0.0,top
J9,36.0,-51.2,180.0,bottom
Q2,36.2625,-44.4,180.0,top
R4,33.85,-40.39,270.0,top
R5,39.8,-44.375,270.0,top
U1,37.15,-40.14,0.0,top
U2,56.5,-45.0,0.0,top
U3,54.090608,-62.895133,180.0,top
