Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",CP_EIA-3528-12_Kemet-T,2,100uF,
"C2, C4",0603,2,0.1uF,
"C3, C5, C6",0805,3,22uF,
FB1,0603,1,FerriteBead,
J14,PinHeader_1x02_P2.00mm_Vertical,1,CHARGE,
J2,PinHeader_1x03_P2.00mm_Vertical,1,BATTERY,
J3,PinHeader_1x02_P2.00mm_Vertical,1,BATTERY,
"J4, J9",PinHeader_1x02_P2.00mm_Vertical,2,OUTPUT,
J7,PinHeader_1x04_P2.00mm_Vertical,1,REMOTE,
J8,PinHeader_1x01_P2.54mm_TP,1,EN,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,1,SolderJumper_3_Open,
U2,TS2326,1,TP2326,
U3,MP1584EN,1,MP1584EN,
