Designator,Mid X,Mid Y,Rotation,Layer
C1,170.8,-79.2,180.0,top
C2,169.1,-75.6,270.0,top
C3,171.1,-75.6,270.0,top
C4,143.357897,-80.095097,0.0,top
C5,143.426227,-81.933477,0.0,top
C6,140.500566,-81.177632,90.0,top
C7,142.684845,-84.752924,180.0,top
FB1,164.0875,-73.8,0.0,top
J14,164.74,-53.56,270.0,top
J2,137.9,-64.0,180.0,top
J3,170.19,-84.84,180.0,top
J4,142.985939,-89.08509,270.0,top
J7,137.453528,-73.799309,0.0,top
J8,142.791813,-75.085139,90.0,top
J9,137.782724,-84.656468,180.0,top
U2,154.9,-63.8,0.0,top
U3,156.890608,-83.195133,180.0,top
