Comment,Designator,Footprint,LCSC,Quantity
10kΩ,R2,R_0603_1608Metric,,1
10kΩ,R1,R_0603_1608Metric,,1
22uF,C5,C_0805_2012Metric,C116740,1
0.1uF,C4,C_0603_1608Metric,,1
TP2326,U2,TS2326,,1
22uF,C3,C_0805_2012Metric,C116740,1
100uF,C1,CP_EIA-3528-12_Kemet-T,C86816,1
100uF,C7,CP_EIA-3528-12_Kemet-T,C86816,1
22uF,C6,C_0805_2012Metric,C116740,1
FerriteBead,FB1,L_0603_1608Metric,,1
MMBT3904,Q1,SOT-23,C242260,1
MP1584EN,U3,MP1584EN,,1
0.1uF,C2,C_0603_1608Metric,,1
10kΩ,R3,R_0603_1608Metric,,1
