Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF,CP_EIA-3528-12_Kemet-T,170.8,-79.2,180.0,top
C2,0.1uF,C_0603_1608Metric,169.1,-75.6,-90.0,top
C3,22uF,C_0805_2012Metric,171.1,-75.6,-90.0,top
C4,0.1uF,C_0603_1608Metric,143.357897,-80.095097,0.0,top
C5,22uF,C_0805_2012Metric,143.426227,-81.933477,0.0,top
C6,22uF,C_0805_2012Metric,140.500566,-81.177632,90.0,top
C7,100uF,CP_EIA-3528-12_Kemet-T,142.684845,-84.752924,180.0,top
FB1,FerriteBead,L_0603_1608Metric,164.0875,-73.8,0.0,top
J14,CHARGE,PinHeader_1x02_P2.00mm_Vertical,164.74,-53.56,-90.0,top
J2,BATTERY,PinHeader_1x03_P2.00mm_Vertical,137.724115,-59.987411,180.0,top
J3,BATTERY,PinHeader_1x02_P2.00mm_Vertical,170.19,-84.84,180.0,top
J4,OUTPUT,PinHeader_1x02_P2.00mm_Vertical,142.985939,-89.08509,-90.0,top
J7,REMOTE,PinHeader_1x04_P2.00mm_Vertical,137.453528,-73.799309,0.0,top
J8,EN,PinHeader_1x01_P2.54mm_TP,141.0,-74.0,90.0,top
J9,OUTPUT,PinHeader_1x02_P2.00mm_Vertical,137.782724,-85.5,180.0,top
JP1,JUMP,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,137.75,-80.3,90.0,top
Q1,MMBT3904,SOT-23,143.305121,-76.25,0.0,top
R1,10kΩ,R_0603_1608Metric,140.75,-76.75,90.0,top
R2,10kΩ,R_0603_1608Metric,137.925,-66.527257,180.0,top
R3,10kΩ,R_0603_1608Metric,137.925,-68.0,180.0,top
U2,TP2326,TS2326,154.843633,-63.88266,0.0,top
U3,MP1584EN,MP1584EN,156.890608,-83.195133,180.0,top
