order,face_idx
0,409
1,627
2,626
3,625
4,264
5,267
6,266
7,268
8,269
9,628
10,629
11,408
12,417
13,416
14,407
15,630
16,270
17,406
18,415
19,190
20,18
21,8
22,7
23,16
24,17
25,25
26,32
27,38
28,43
29,48
30,44
31,39
32,33
33,26
34,198
35,191
36,423
37,424
38,425
39,431
40,430
41,192
42,199
43,205
44,211
45,216
46,220
47,223
48,51
49,53
50,225
51,224
52,221
53,218
54,217
55,212
56,206
57,200
58,193
59,436
60,437
61,441
62,194
63,201
64,207
65,213
66,214
67,209
68,208
69,202
70,195
71,445
72,442
73,443
74,439
75,438
76,432
77,433
78,426
79,418
